a,b,c,triplets_mapped,co
31,69,46,"(31, 69, 46)",10
41,68,40,"(41, 68, 40)",10
12,110,10,"(12, 110, 10)",10
59,4,10,"(59, 4, 10)",10
59,10,4,"(59, 10, 4)",10
4,112,111,"(4, 112, 111)",10
40,62,39,"(40, 62, 39)",10
40,68,41,"(40, 68, 41)",10
12,10,110,"(12, 10, 110)",10
77,113,42,"(77, 113, 42)",10
62,41,114,"(62, 41, 114)",10
46,31,69,"(46, 31, 69)",10
52,115,42,"(52, 115, 42)",10
32,42,75,"(32, 42, 75)",10
31,48,99,"(31, 48, 99)",10
42,32,116,"(42, 32, 116)",10
117,104,42,"(117, 104, 42)",10
42,75,32,"(42, 75, 32)",10
42,32,75,"(42, 32, 75)",10
104,42,117,"(104, 42, 117)",10
114,62,41,"(114, 62, 41)",10
52,42,115,"(52, 42, 115)",10
104,117,42,"(104, 117, 42)",10
68,41,62,"(68, 41, 62)",10
94,7,9,"(94, 7, 9)",10
68,62,41,"(68, 62, 41)",10
41,68,62,"(41, 68, 62)",10
41,62,68,"(41, 62, 68)",10
41,114,62,"(41, 114, 62)",10
62,68,41,"(62, 68, 41)",10
62,41,68,"(62, 41, 68)",10
56,63,64,"(56, 63, 64)",10
86,10,4,"(86, 10, 4)",10
62,39,40,"(62, 39, 40)",10
46,69,31,"(46, 69, 31)",10
94,8,9,"(94, 8, 9)",10
94,9,8,"(94, 9, 8)",10
4,10,86,"(4, 10, 86)",10
115,42,52,"(115, 42, 52)",10
114,41,62,"(114, 41, 62)",10
75,32,42,"(75, 32, 42)",10
75,42,32,"(75, 42, 32)",10
42,52,115,"(42, 52, 115)",10
42,115,52,"(42, 115, 52)",10
4,47,10,"(4, 47, 10)",10
86,4,10,"(86, 4, 10)",10
42,117,104,"(42, 117, 104)",10
42,104,117,"(42, 104, 117)",10
117,42,104,"(117, 42, 104)",10
9,7,94,"(9, 7, 94)",10
94,9,7,"(94, 9, 7)",10
9,8,94,"(9, 8, 94)",10
9,94,7,"(9, 94, 7)",10
9,94,8,"(9, 94, 8)",10
7,9,94,"(7, 9, 94)",10
32,75,42,"(32, 75, 42)",10
7,94,9,"(7, 94, 9)",10
62,114,41,"(62, 114, 41)",10
8,9,94,"(8, 9, 94)",10
115,52,42,"(115, 52, 42)",10
8,94,9,"(8, 94, 9)",10
10,4,86,"(10, 4, 86)",10
62,40,39,"(62, 40, 39)",10
4,86,10,"(4, 86, 10)",10
112,4,111,"(112, 4, 111)",10
10,86,4,"(10, 86, 4)",10
12,118,4,"(12, 118, 4)",10
12,4,118,"(12, 4, 118)",10
4,118,12,"(4, 118, 12)",10
4,12,118,"(4, 12, 118)",10
32,42,116,"(32, 42, 116)",10
63,56,64,"(63, 56, 64)",10
63,64,56,"(63, 64, 56)",10
64,56,63,"(64, 56, 63)",10
32,116,42,"(32, 116, 42)",10
110,12,10,"(110, 12, 10)",10
112,111,4,"(112, 111, 4)",10
69,46,31,"(69, 46, 31)",10
106,0,2,"(106, 0, 2)",10
106,2,0,"(106, 2, 0)",10
69,31,46,"(69, 31, 46)",10
31,48,30,"(31, 48, 30)",10
31,30,48,"(31, 30, 48)",10
48,31,30,"(48, 31, 30)",10
48,30,31,"(48, 30, 31)",10
30,31,48,"(30, 31, 48)",10
30,48,31,"(30, 48, 31)",10
118,12,4,"(118, 12, 4)",10
118,4,12,"(118, 4, 12)",10
35,10,2,"(35, 10, 2)",10
109,108,107,"(109, 108, 107)",10
10,47,4,"(10, 47, 4)",10
10,4,47,"(10, 4, 47)",10
116,32,42,"(116, 32, 42)",10
14,73,17,"(14, 73, 17)",10
14,17,73,"(14, 17, 73)",10
41,62,114,"(41, 62, 114)",10
109,107,108,"(109, 107, 108)",10
116,42,32,"(116, 42, 32)",10
34,32,61,"(34, 32, 61)",10
73,14,17,"(73, 14, 17)",10
42,116,32,"(42, 116, 32)",10
2,10,35,"(2, 10, 35)",10
61,32,34,"(61, 32, 34)",10
10,35,2,"(10, 35, 2)",10
73,17,14,"(73, 17, 14)",10
2,35,10,"(2, 35, 10)",10
35,2,10,"(35, 2, 10)",10
56,64,63,"(56, 64, 63)",10
61,34,32,"(61, 34, 32)",10
34,61,32,"(34, 61, 32)",10
10,119,12,"(10, 119, 12)",9
10,12,119,"(10, 12, 119)",9
48,12,4,"(48, 12, 4)",9
120,14,15,"(120, 14, 15)",9
42,116,33,"(42, 116, 33)",9
120,15,14,"(120, 15, 14)",9
42,33,116,"(42, 33, 116)",9
12,10,119,"(12, 10, 119)",9
2,49,35,"(2, 49, 35)",9
12,119,10,"(12, 119, 10)",9
122,52,121,"(122, 52, 121)",9
52,84,123,"(52, 84, 123)",9
116,42,33,"(116, 42, 33)",9
41,81,114,"(41, 81, 114)",9
87,14,15,"(87, 14, 15)",9
87,15,14,"(87, 15, 14)",9
61,35,124,"(61, 35, 124)",9
61,124,35,"(61, 124, 35)",9
124,35,61,"(124, 35, 61)",9
124,61,35,"(124, 61, 35)",9
14,87,15,"(14, 87, 15)",9
14,15,87,"(14, 15, 87)",9
15,87,14,"(15, 87, 14)",9
15,14,87,"(15, 14, 87)",9
14,48,73,"(14, 48, 73)",9
14,73,48,"(14, 73, 48)",9
48,14,73,"(48, 14, 73)",9
48,73,14,"(48, 73, 14)",9
123,52,58,"(123, 52, 58)",9
73,14,48,"(73, 14, 48)",9
73,48,14,"(73, 48, 14)",9
114,41,40,"(114, 41, 40)",9
52,123,84,"(52, 123, 84)",9
5,6,86,"(5, 6, 86)",9
114,81,41,"(114, 81, 41)",9
84,52,123,"(84, 52, 123)",9
119,10,12,"(119, 10, 12)",9
114,40,41,"(114, 40, 41)",9
114,41,81,"(114, 41, 81)",9
119,12,10,"(119, 12, 10)",9
81,114,41,"(81, 114, 41)",9
81,41,114,"(81, 41, 114)",9
116,33,42,"(116, 33, 42)",9
41,114,81,"(41, 114, 81)",9
123,84,52,"(123, 84, 52)",9
121,52,122,"(121, 52, 122)",9
123,52,84,"(123, 52, 84)",9
121,122,52,"(121, 122, 52)",9
86,6,5,"(86, 6, 5)",9
52,121,122,"(52, 121, 122)",9
48,4,12,"(48, 4, 12)",9
6,86,5,"(6, 86, 5)",9
52,122,121,"(52, 122, 121)",9
6,5,86,"(6, 5, 86)",9
84,123,52,"(84, 123, 52)",9
122,121,52,"(122, 121, 52)",9
5,86,6,"(5, 86, 6)",9
86,5,6,"(86, 5, 6)",9
125,68,41,"(125, 68, 41)",9
33,116,42,"(33, 116, 42)",9
18,100,19,"(18, 100, 19)",9
41,93,103,"(41, 93, 103)",9
103,41,93,"(103, 41, 93)",9
19,100,20,"(19, 100, 20)",9
19,100,18,"(19, 100, 18)",9
19,20,100,"(19, 20, 100)",9
19,18,100,"(19, 18, 100)",9
18,19,100,"(18, 19, 100)",9
41,103,93,"(41, 103, 93)",9
103,93,41,"(103, 93, 41)",9
47,10,0,"(47, 10, 0)",9
47,0,10,"(47, 0, 10)",9
49,35,2,"(49, 35, 2)",9
49,2,35,"(49, 2, 35)",9
39,114,41,"(39, 114, 41)",9
20,19,100,"(20, 19, 100)",9
58,105,52,"(58, 105, 52)",9
41,125,68,"(41, 125, 68)",9
35,14,1,"(35, 14, 1)",9
14,1,35,"(14, 1, 35)",9
68,125,41,"(68, 125, 41)",9
68,41,125,"(68, 41, 125)",9
14,35,1,"(14, 35, 1)",9
41,40,114,"(41, 40, 114)",9
35,1,14,"(35, 1, 14)",9
100,18,19,"(100, 18, 19)",9
58,52,105,"(58, 52, 105)",9
20,100,19,"(20, 100, 19)",9
52,105,58,"(52, 105, 58)",9
52,58,105,"(52, 58, 105)",9
10,0,47,"(10, 0, 47)",9
105,52,58,"(105, 52, 58)",9
105,58,52,"(105, 58, 52)",9
93,41,103,"(93, 41, 103)",9
93,103,41,"(93, 103, 41)",9
35,49,2,"(35, 49, 2)",9
68,126,42,"(68, 126, 42)",9
42,126,68,"(42, 126, 68)",9
31,70,67,"(31, 70, 67)",9
31,67,70,"(31, 67, 70)",9
126,68,42,"(126, 68, 42)",9
68,42,126,"(68, 42, 126)",9
126,42,68,"(126, 42, 68)",9
4,118,10,"(4, 118, 10)",9
39,41,114,"(39, 41, 114)",9
4,10,118,"(4, 10, 118)",9
0,47,10,"(0, 47, 10)",9
118,4,10,"(118, 4, 10)",9
10,118,4,"(10, 118, 4)",9
10,4,118,"(10, 4, 118)",9
0,10,47,"(0, 10, 47)",9
67,31,70,"(67, 31, 70)",9
42,68,126,"(42, 68, 126)",9
67,70,31,"(67, 70, 31)",9
70,31,67,"(70, 31, 67)",9
70,67,31,"(70, 67, 31)",9
60,26,4,"(60, 26, 4)",9
60,4,26,"(60, 4, 26)",9
2,35,49,"(2, 35, 49)",9
26,60,4,"(26, 60, 4)",9
26,4,60,"(26, 4, 60)",9
35,2,49,"(35, 2, 49)",9
4,60,26,"(4, 60, 26)",9
4,26,60,"(4, 26, 60)",9
41,114,39,"(41, 114, 39)",9
41,39,114,"(41, 39, 114)",9
114,41,39,"(114, 41, 39)",9
114,39,41,"(114, 39, 41)",9
41,68,125,"(41, 68, 125)",9
100,19,18,"(100, 19, 18)",9
100,19,20,"(100, 19, 20)",9
4,42,5,"(4, 42, 5)",9
29,31,127,"(29, 31, 127)",9
58,123,52,"(58, 123, 52)",9
29,127,31,"(29, 127, 31)",9
127,31,29,"(127, 31, 29)",9
4,42,11,"(4, 42, 11)",9
127,29,31,"(127, 29, 31)",9
35,61,124,"(35, 61, 124)",9
74,35,59,"(74, 35, 59)",9
42,4,11,"(42, 4, 11)",9
4,42,6,"(4, 42, 6)",9
5,4,42,"(5, 4, 42)",9
74,59,35,"(74, 59, 35)",9
5,42,4,"(5, 42, 4)",9
35,74,59,"(35, 74, 59)",9
6,4,42,"(6, 4, 42)",9
1,35,14,"(1, 35, 14)",9
4,6,42,"(4, 6, 42)",9
52,123,58,"(52, 123, 58)",9
31,127,29,"(31, 127, 29)",9
31,29,127,"(31, 29, 127)",9
52,58,123,"(52, 58, 123)",9
15,120,14,"(15, 120, 14)",9
41,114,40,"(41, 114, 40)",9
33,42,116,"(33, 42, 116)",9
123,58,52,"(123, 58, 52)",9
12,48,4,"(12, 48, 4)",9
35,124,61,"(35, 124, 61)",9
40,41,114,"(40, 41, 114)",9
12,4,48,"(12, 4, 48)",9
58,52,123,"(58, 52, 123)",9
15,14,120,"(15, 14, 120)",9
11,4,42,"(11, 4, 42)",9
11,42,4,"(11, 42, 4)",9
4,11,42,"(4, 11, 42)",9
4,5,42,"(4, 5, 42)",9
42,11,4,"(42, 11, 4)",9
6,42,4,"(6, 42, 4)",9
59,74,35,"(59, 74, 35)",9
35,59,74,"(35, 59, 74)",9
118,10,4,"(118, 10, 4)",9
77,76,11,"(77, 76, 11)",9
77,11,76,"(77, 11, 76)",9
11,76,77,"(11, 76, 77)",9
11,77,76,"(11, 77, 76)",9
125,41,68,"(125, 41, 68)",9
4,12,48,"(4, 12, 48)",9
4,48,12,"(4, 48, 12)",9
14,15,120,"(14, 15, 120)",9
59,35,74,"(59, 35, 74)",9
40,114,41,"(40, 114, 41)",9
10,47,0,"(10, 47, 0)",9
14,120,15,"(14, 120, 15)",9
76,11,77,"(76, 11, 77)",9
76,77,11,"(76, 77, 11)",9
42,6,4,"(42, 6, 4)",9
1,14,35,"(1, 14, 35)",9
42,5,4,"(42, 5, 4)",9
100,20,19,"(100, 20, 19)",9
42,4,6,"(42, 4, 6)",9
42,4,5,"(42, 4, 5)",9
39,93,40,"(39, 93, 40)",8
93,40,39,"(93, 40, 39)",8
93,39,40,"(93, 39, 40)",8
39,40,93,"(39, 40, 93)",8
26,128,4,"(26, 128, 4)",8
116,126,33,"(116, 126, 33)",8
26,4,128,"(26, 4, 128)",8
128,26,4,"(128, 26, 4)",8
126,33,116,"(126, 33, 116)",8
126,116,33,"(126, 116, 33)",8
116,33,126,"(116, 33, 126)",8
10,48,0,"(10, 48, 0)",8
10,0,48,"(10, 0, 48)",8
97,31,48,"(97, 31, 48)",8
48,10,0,"(48, 10, 0)",8
128,4,26,"(128, 4, 26)",8
97,48,31,"(97, 48, 31)",8
33,116,126,"(33, 116, 126)",8
48,0,10,"(48, 0, 10)",8
33,126,116,"(33, 126, 116)",8
0,10,48,"(0, 10, 48)",8
0,48,10,"(0, 48, 10)",8
4,128,26,"(4, 128, 26)",8
34,129,32,"(34, 129, 32)",8
40,93,39,"(40, 93, 39)",8
34,32,75,"(34, 32, 75)",8
30,89,48,"(30, 89, 48)",8
30,48,89,"(30, 48, 89)",8
30,66,48,"(30, 66, 48)",8
32,75,34,"(32, 75, 34)",8
32,34,75,"(32, 34, 75)",8
30,48,66,"(30, 48, 66)",8
48,89,30,"(48, 89, 30)",8
48,30,89,"(48, 30, 89)",8
97,130,31,"(97, 130, 31)",8
77,90,42,"(77, 90, 42)",8
77,42,90,"(77, 42, 90)",8
90,77,42,"(90, 77, 42)",8
90,42,77,"(90, 42, 77)",8
42,77,90,"(42, 77, 90)",8
42,90,77,"(42, 90, 77)",8
97,31,130,"(97, 31, 130)",8
89,88,72,"(89, 88, 72)",8
89,48,30,"(89, 48, 30)",8
34,75,32,"(34, 75, 32)",8
88,89,72,"(88, 89, 72)",8
75,32,34,"(75, 32, 34)",8
32,34,129,"(32, 34, 129)",8
32,129,34,"(32, 129, 34)",8
34,32,129,"(34, 32, 129)",8
129,34,32,"(129, 34, 32)",8
129,32,34,"(129, 32, 34)",8
34,33,129,"(34, 33, 129)",8
34,129,33,"(34, 129, 33)",8
33,34,129,"(33, 34, 129)",8
33,129,34,"(33, 129, 34)",8
129,34,33,"(129, 34, 33)",8
129,33,34,"(129, 33, 34)",8
66,48,30,"(66, 48, 30)",8
66,30,48,"(66, 30, 48)",8
48,66,30,"(48, 66, 30)",8
48,30,66,"(48, 30, 66)",8
89,30,48,"(89, 30, 48)",8
75,34,32,"(75, 34, 32)",8
89,72,88,"(89, 72, 88)",8
97,98,31,"(97, 98, 31)",8
40,94,41,"(40, 94, 41)",8
14,73,30,"(14, 73, 30)",8
33,32,116,"(33, 32, 116)",8
33,116,32,"(33, 116, 32)",8
31,97,130,"(31, 97, 130)",8
32,33,116,"(32, 33, 116)",8
31,130,97,"(31, 130, 97)",8
32,116,33,"(32, 116, 33)",8
31,97,48,"(31, 97, 48)",8
48,31,97,"(48, 31, 97)",8
48,97,31,"(48, 97, 31)",8
116,33,32,"(116, 33, 32)",8
116,32,33,"(116, 32, 33)",8
4,26,128,"(4, 26, 128)",8
41,94,40,"(41, 94, 40)",8
41,40,94,"(41, 40, 94)",8
94,41,40,"(94, 41, 40)",8
40,39,93,"(40, 39, 93)",8
40,41,94,"(40, 41, 94)",8
31,48,97,"(31, 48, 97)",8
14,30,73,"(14, 30, 73)",8
88,72,89,"(88, 72, 89)",8
73,14,30,"(73, 14, 30)",8
97,31,98,"(97, 31, 98)",8
72,89,88,"(72, 89, 88)",8
72,88,89,"(72, 88, 89)",8
98,31,97,"(98, 31, 97)",8
121,104,122,"(121, 104, 122)",8
121,122,104,"(121, 122, 104)",8
31,97,98,"(31, 97, 98)",8
31,98,97,"(31, 98, 97)",8
104,121,122,"(104, 121, 122)",8
104,122,121,"(104, 122, 121)",8
122,121,104,"(122, 121, 104)",8
122,104,121,"(122, 104, 121)",8
130,97,31,"(130, 97, 31)",8
130,31,97,"(130, 31, 97)",8
30,73,14,"(30, 73, 14)",8
30,14,73,"(30, 14, 73)",8
73,30,14,"(73, 30, 14)",8
98,97,31,"(98, 97, 31)",8
94,40,41,"(94, 40, 41)",8
15,42,14,"(15, 42, 14)",8
76,77,113,"(76, 77, 113)",8
113,76,77,"(113, 76, 77)",8
42,15,14,"(42, 15, 14)",8
42,14,15,"(42, 14, 15)",8
15,14,42,"(15, 14, 42)",8
113,77,76,"(113, 77, 76)",8
14,42,15,"(14, 42, 15)",8
14,15,42,"(14, 15, 42)",8
62,93,40,"(62, 93, 40)",8
62,40,93,"(62, 40, 93)",8
93,62,40,"(93, 62, 40)",8
93,40,62,"(93, 40, 62)",8
40,62,93,"(40, 62, 93)",8
40,93,62,"(40, 93, 62)",8
30,131,26,"(30, 131, 26)",8
30,26,131,"(30, 26, 131)",8
131,30,26,"(131, 30, 26)",8
131,26,30,"(131, 26, 30)",8
26,30,131,"(26, 30, 131)",8
26,131,30,"(26, 131, 30)",8
132,134,133,"(132, 134, 133)",8
132,133,134,"(132, 133, 134)",8
135,4,11,"(135, 4, 11)",8
15,14,0,"(15, 14, 0)",8
15,0,14,"(15, 0, 14)",8
14,15,0,"(14, 15, 0)",8
133,132,134,"(133, 132, 134)",8
42,137,136,"(42, 137, 136)",8
46,91,102,"(46, 91, 102)",8
133,134,132,"(133, 134, 132)",8
136,137,42,"(136, 137, 42)",8
91,46,102,"(91, 46, 102)",8
136,42,137,"(136, 42, 137)",8
91,102,46,"(91, 102, 46)",8
102,46,91,"(102, 46, 91)",8
30,69,31,"(30, 69, 31)",8
76,113,77,"(76, 113, 77)",8
30,31,69,"(30, 31, 69)",8
137,136,42,"(137, 136, 42)",8
69,30,31,"(69, 30, 31)",8
69,31,30,"(69, 31, 30)",8
38,42,37,"(38, 42, 37)",8
137,42,136,"(137, 42, 136)",8
40,62,68,"(40, 62, 68)",8
40,68,62,"(40, 68, 62)",8
31,30,69,"(31, 30, 69)",8
62,40,68,"(62, 40, 68)",8
31,69,30,"(31, 69, 30)",8
62,68,40,"(62, 68, 40)",8
42,136,137,"(42, 136, 137)",8
68,40,62,"(68, 40, 62)",8
102,91,46,"(102, 91, 46)",8
68,62,40,"(68, 62, 40)",8
134,133,132,"(134, 133, 132)",8
134,132,133,"(134, 132, 133)",8
14,0,15,"(14, 0, 15)",8
0,15,14,"(0, 15, 14)",8
77,76,113,"(77, 76, 113)",8
0,14,15,"(0, 14, 15)",8
10,12,2,"(10, 12, 2)",8
10,2,12,"(10, 2, 12)",8
12,10,2,"(12, 10, 2)",8
12,2,10,"(12, 2, 10)",8
2,10,12,"(2, 10, 12)",8
2,12,10,"(2, 12, 10)",8
125,96,40,"(125, 96, 40)",8
31,48,46,"(31, 48, 46)",8
96,40,125,"(96, 40, 125)",8
96,125,40,"(96, 125, 40)",8
37,42,38,"(37, 42, 38)",8
37,38,42,"(37, 38, 42)",8
31,46,48,"(31, 46, 48)",8
48,31,46,"(48, 31, 46)",8
90,6,5,"(90, 6, 5)",8
90,5,6,"(90, 5, 6)",8
6,90,5,"(6, 90, 5)",8
6,5,90,"(6, 5, 90)",8
48,46,31,"(48, 46, 31)",8
46,31,48,"(46, 31, 48)",8
5,90,6,"(5, 90, 6)",8
5,6,90,"(5, 6, 90)",8
42,37,38,"(42, 37, 38)",8
46,48,31,"(46, 48, 31)",8
42,38,37,"(42, 38, 37)",8
125,40,96,"(125, 40, 96)",8
40,96,125,"(40, 96, 125)",8
40,125,96,"(40, 125, 96)",8
138,77,42,"(138, 77, 42)",8
35,74,135,"(35, 74, 135)",8
35,135,74,"(35, 135, 74)",8
31,99,30,"(31, 99, 30)",8
74,35,135,"(74, 35, 135)",8
74,135,35,"(74, 135, 35)",8
31,30,99,"(31, 30, 99)",8
77,138,42,"(77, 138, 42)",8
135,35,74,"(135, 35, 74)",8
77,42,138,"(77, 42, 138)",8
77,113,76,"(77, 113, 76)",8
135,74,35,"(135, 74, 35)",8
99,31,30,"(99, 31, 30)",8
31,46,139,"(31, 46, 139)",8
138,42,77,"(138, 42, 77)",8
99,30,31,"(99, 30, 31)",8
42,77,138,"(42, 77, 138)",8
42,138,77,"(42, 138, 77)",8
30,31,99,"(30, 31, 99)",8
30,99,31,"(30, 99, 31)",8
139,46,31,"(139, 46, 31)",8
139,31,46,"(139, 31, 46)",8
46,139,31,"(46, 139, 31)",8
46,31,139,"(46, 31, 139)",8
31,139,46,"(31, 139, 46)",8
46,102,91,"(46, 102, 91)",8
38,37,42,"(38, 37, 42)",8
61,35,12,"(61, 35, 12)",8
27,4,42,"(27, 4, 42)",8
50,51,58,"(50, 51, 58)",8
61,12,35,"(61, 12, 35)",8
12,61,35,"(12, 61, 35)",8
58,51,50,"(58, 51, 50)",8
51,58,50,"(51, 58, 50)",8
4,27,42,"(4, 27, 42)",8
50,58,51,"(50, 58, 51)",8
4,42,27,"(4, 42, 27)",8
135,11,4,"(135, 11, 4)",8
12,35,61,"(12, 35, 61)",8
35,61,12,"(35, 61, 12)",8
42,27,4,"(42, 27, 4)",8
35,12,61,"(35, 12, 61)",8
4,11,135,"(4, 11, 135)",8
42,4,27,"(42, 4, 27)",8
58,50,51,"(58, 50, 51)",8
27,42,4,"(27, 42, 4)",8
11,135,4,"(11, 135, 4)",8
51,50,58,"(51, 50, 58)",8
11,4,135,"(11, 4, 135)",8
4,135,11,"(4, 135, 11)",8
48,10,2,"(48, 10, 2)",7
10,48,2,"(10, 48, 2)",7
35,15,2,"(35, 15, 2)",7
10,2,48,"(10, 2, 48)",7
31,91,130,"(31, 91, 130)",7
10,35,74,"(10, 35, 74)",7
104,85,117,"(104, 85, 117)",7
41,93,39,"(41, 93, 39)",7
48,2,10,"(48, 2, 10)",7
41,39,93,"(41, 39, 93)",7
2,10,48,"(2, 10, 48)",7
96,95,7,"(96, 95, 7)",7
2,48,10,"(2, 48, 10)",7
94,140,42,"(94, 140, 42)",7
94,42,140,"(94, 42, 140)",7
104,117,85,"(104, 117, 85)",7
93,41,39,"(93, 41, 39)",7
140,94,42,"(140, 94, 42)",7
40,114,62,"(40, 114, 62)",7
141,142,143,"(141, 142, 143)",7
96,7,95,"(96, 7, 95)",7
16,51,52,"(16, 51, 52)",7
114,62,40,"(114, 62, 40)",7
26,128,57,"(26, 128, 57)",7
114,40,62,"(114, 40, 62)",7
7,95,96,"(7, 95, 96)",7
2,35,15,"(2, 35, 15)",7
2,15,35,"(2, 15, 35)",7
7,96,95,"(7, 96, 95)",7
91,31,130,"(91, 31, 130)",7
16,52,51,"(16, 52, 51)",7
143,141,142,"(143, 141, 142)",7
40,62,114,"(40, 62, 114)",7
95,7,96,"(95, 7, 96)",7
143,142,141,"(143, 142, 141)",7
35,2,15,"(35, 2, 15)",7
141,143,142,"(141, 143, 142)",7
31,130,91,"(31, 130, 91)",7
128,57,26,"(128, 57, 26)",7
128,26,57,"(128, 26, 57)",7
4,10,11,"(4, 10, 11)",7
95,96,7,"(95, 96, 7)",7
85,104,117,"(85, 104, 117)",7
140,42,94,"(140, 42, 94)",7
117,85,104,"(117, 85, 104)",7
85,117,104,"(85, 117, 104)",7
11,10,4,"(11, 10, 4)",7
52,105,84,"(52, 105, 84)",7
52,84,105,"(52, 84, 105)",7
96,93,7,"(96, 93, 7)",7
10,48,80,"(10, 48, 80)",7
15,2,35,"(15, 2, 35)",7
35,112,111,"(35, 112, 111)",7
142,141,143,"(142, 141, 143)",7
11,4,10,"(11, 4, 10)",7
35,111,112,"(35, 111, 112)",7
39,93,41,"(39, 93, 41)",7
7,96,93,"(7, 96, 93)",7
51,52,16,"(51, 52, 16)",7
117,104,85,"(117, 104, 85)",7
4,11,10,"(4, 11, 10)",7
7,93,96,"(7, 93, 96)",7
51,16,52,"(51, 16, 52)",7
105,42,52,"(105, 42, 52)",7
105,52,42,"(105, 52, 42)",7
93,96,7,"(93, 96, 7)",7
42,105,52,"(42, 105, 52)",7
93,7,96,"(93, 7, 96)",7
42,52,105,"(42, 52, 105)",7
52,105,42,"(52, 105, 42)",7
15,35,2,"(15, 35, 2)",7
96,7,93,"(96, 7, 93)",7
84,52,105,"(84, 52, 105)",7
84,105,52,"(84, 105, 52)",7
105,52,84,"(105, 52, 84)",7
42,94,140,"(42, 94, 140)",7
42,140,94,"(42, 140, 94)",7
142,143,141,"(142, 143, 141)",7
91,130,31,"(91, 130, 31)",7
133,144,132,"(133, 144, 132)",7
133,132,144,"(133, 132, 144)",7
144,133,132,"(144, 133, 132)",7
144,132,133,"(144, 132, 133)",7
132,133,144,"(132, 133, 144)",7
15,94,14,"(15, 94, 14)",7
15,14,94,"(15, 14, 94)",7
112,111,35,"(112, 111, 35)",7
94,15,14,"(94, 15, 14)",7
112,35,111,"(112, 35, 111)",7
94,14,15,"(94, 14, 15)",7
93,39,41,"(93, 39, 41)",7
14,15,94,"(14, 15, 94)",7
111,112,35,"(111, 112, 35)",7
14,94,15,"(14, 94, 15)",7
111,35,112,"(111, 35, 112)",7
132,144,133,"(132, 144, 133)",7
39,41,93,"(39, 41, 93)",7
105,84,52,"(105, 84, 52)",7
26,57,128,"(26, 57, 128)",7
41,145,40,"(41, 145, 40)",7
57,128,26,"(57, 128, 26)",7
0,14,73,"(0, 14, 73)",7
50,146,51,"(50, 146, 51)",7
50,146,52,"(50, 146, 52)",7
52,147,58,"(52, 147, 58)",7
50,51,146,"(50, 51, 146)",7
50,52,146,"(50, 52, 146)",7
52,146,50,"(52, 146, 50)",7
52,50,146,"(52, 50, 146)",7
36,38,148,"(36, 38, 148)",7
14,0,73,"(14, 0, 73)",7
36,148,38,"(36, 148, 38)",7
0,73,14,"(0, 73, 14)",7
148,38,36,"(148, 38, 36)",7
52,58,147,"(52, 58, 147)",7
14,73,3,"(14, 73, 3)",7
3,14,73,"(3, 14, 73)",7
3,73,14,"(3, 73, 14)",7
148,36,38,"(148, 36, 38)",7
56,128,57,"(56, 128, 57)",7
56,57,128,"(56, 57, 128)",7
73,14,3,"(73, 14, 3)",7
73,3,14,"(73, 3, 14)",7
68,6,5,"(68, 6, 5)",7
10,74,35,"(10, 74, 35)",7
128,56,57,"(128, 56, 57)",7
149,92,89,"(149, 92, 89)",7
51,50,146,"(51, 50, 146)",7
57,26,128,"(57, 26, 128)",7
146,52,50,"(146, 52, 50)",7
73,0,14,"(73, 0, 14)",7
35,74,10,"(35, 74, 10)",7
14,3,73,"(14, 3, 73)",7
73,14,0,"(73, 14, 0)",7
35,10,74,"(35, 10, 74)",7
62,103,41,"(62, 103, 41)",7
146,51,50,"(146, 51, 50)",7
146,50,51,"(146, 50, 51)",7
62,41,103,"(62, 41, 103)",7
146,50,52,"(146, 50, 52)",7
41,103,62,"(41, 103, 62)",7
58,147,52,"(58, 147, 52)",7
149,89,92,"(149, 89, 92)",7
58,52,147,"(58, 52, 147)",7
41,62,103,"(41, 62, 103)",7
147,58,52,"(147, 58, 52)",7
147,52,58,"(147, 52, 58)",7
38,36,148,"(38, 36, 148)",7
38,148,36,"(38, 148, 36)",7
89,92,149,"(89, 92, 149)",7
89,149,92,"(89, 149, 92)",7
51,146,50,"(51, 146, 50)",7
92,89,149,"(92, 89, 149)",7
92,149,89,"(92, 149, 89)",7
74,35,10,"(74, 35, 10)",7
128,57,56,"(128, 57, 56)",7
27,26,42,"(27, 26, 42)",7
130,91,31,"(130, 91, 31)",7
95,125,96,"(95, 125, 96)",7
6,5,68,"(6, 5, 68)",7
62,114,40,"(62, 114, 40)",7
5,68,6,"(5, 68, 6)",7
40,41,145,"(40, 41, 145)",7
40,145,41,"(40, 145, 41)",7
62,40,114,"(62, 40, 114)",7
52,16,51,"(52, 16, 51)",7
41,81,126,"(41, 81, 126)",7
52,51,16,"(52, 51, 16)",7
41,126,81,"(41, 126, 81)",7
81,41,126,"(81, 41, 126)",7
57,56,128,"(57, 56, 128)",7
5,6,68,"(5, 6, 68)",7
81,126,41,"(81, 126, 41)",7
130,31,91,"(130, 31, 91)",7
126,41,81,"(126, 41, 81)",7
41,40,145,"(41, 40, 145)",7
126,81,41,"(126, 81, 41)",7
14,73,0,"(14, 73, 0)",7
145,40,41,"(145, 40, 41)",7
10,4,11,"(10, 4, 11)",7
145,41,40,"(145, 41, 40)",7
10,11,4,"(10, 11, 4)",7
19,20,32,"(19, 20, 32)",7
19,32,20,"(19, 32, 20)",7
20,19,32,"(20, 19, 32)",7
95,96,125,"(95, 96, 125)",7
31,46,150,"(31, 46, 150)",7
